human-rel,human-coh,rouge1,rouge2,rouge3,rouge4,rougeL,bleu,chrf,meteor
3.61,3.56,0.420454545454545,0.183908045977011,0.0930232558139535,0.0235294117647059,0.318181818181818,13.2678562369095,46.98,0.618992695117263
4.25,4.43,0.575757575757576,0.276923076923077,0.15625,0.0793650793650794,0.378787878787879,18.063692340461,33.83,0.49072949961361
4.35,3.72,0.46969696969697,0.169230769230769,0.015625,0,0.166666666666667,8.16426809802891,23.73,0.447210396177657
3.28,1.55,0.263157894736842,0.125,0.0727272727272727,0.037037037037037,0.12280701754386,10.3826496442653,39.17,0.379162545334652
2.83,3.02,0.30952380952381,0.168674698795181,0.0975609756097561,0.0740740740740741,0.202380952380952,11.516662085437,25.01,0.405059157476952
4.11,3.8,0.450980392156863,0.14,0.102040816326531,0.0625,0.294117647058823,15.5726011955564,37.69,0.41098096043151
2.64,3.79,0.507692307692308,0.140625,0.0317460317460317,0,0.230769230769231,5.48015578158063,25.67,0.264629290145564
3.95,3.78,0.431372549019608,0.12,0.0408163265306122,0,0.196078431372549,7.42409104067353,20.59,0.505000740611939
2.94,3.64,0.311475409836066,0.05,0,0,0.147540983606557,2.64895523885045,20.8,0.169354838709677
3.31,2.35,0.338983050847458,0.137931034482759,0.0526315789473684,0.0178571428571429,0.203389830508475,7.9646622069892,40.58,0.331109553978959
4.78,4.75,0.421875,0.158730158730159,0.0483870967741936,0,0.21875,9.32678126388416,24.78,0.464154411764706
3.7,2.59,0.431372549019608,0.22,0.102040816326531,0.0416666666666667,0.294117647058823,14.1000134325264,39.75,0.407530780907404
3.25,3.99,0.410958904109589,0.25,0.183098591549296,0.142857142857143,0.315068493150685,18.5838254339601,35.1,0.52041718454072
3.02,4.69,0.421686746987952,0.170731707317073,0.111111111111111,0.0875,0.156626506024096,16.4035230157627,21.02,0.359388949132539
3.78,3.69,0.350649350649351,0.131578947368421,0.08,0.0540540540540541,0.194805194805195,13.6494965347321,18.27,0.371530346150471
2.83,2.32,0.283333333333333,0.0847457627118644,0.0172413793103448,0,0.166666666666667,4.13491903376955,32.53,0.227033557173666
3.29,3.96,0.533333333333333,0.372881355932203,0.327586206896552,0.31578947368421,0.4,37.9425659645619,20.46,0.539922961415421
4.08,2.82,0.783783783783784,0.666666666666667,0.485714285714286,0.323529411764706,0.594594594594595,44.3842179047725,44.02,0.641999476143867
4.75,4.34,0.45,0.316455696202532,0.294871794871795,0.272727272727273,0.325,33.9390829077736,28.02,0.440952765804598
4.47,3.9,0.544303797468354,0.358974358974359,0.25974025974026,0.197368421052632,0.455696202531646,33.2063200906867,26.25,0.630192502532928
4.62,4.19,0.485714285714286,0.264705882352941,0.212121212121212,0.1875,0.428571428571429,20.4393005653394,56.21,0.286327974586061
4.72,4.16,0.363636363636364,0.12962962962963,0.0566037735849057,0.0192307692307692,0.309090909090909,12.7625916345941,30.42,0.357067953020134
4.68,4.47,0.53030303030303,0.353846153846154,0.265625,0.174603174603175,0.424242424242424,32.8232217507739,36.78,0.654828614324079
3.83,2.65,0.394366197183099,0.0857142857142857,0,0,0.183098591549296,1.52057666412779,23.6,0.167883061976098
3.55,4.75,0.364705882352941,0.154761904761905,0.0963855421686747,0.0609756097560976,0.176470588235294,15.6537712390633,27.75,0.532053091174713
2.71,2.58,0.294117647058823,0.149253731343284,0.0606060606060606,0.0153846153846154,0.264705882352941,5.73964893302001,43.18,0.463543755131657
4.68,4.55,0.27027027027027,0.0958904109589041,0.0416666666666667,0.0140845070422535,0.148648648648649,8.05757569586699,23,0.395217859988439
4.58,3.58,0.544117647058823,0.208955223880597,0.121212121212121,0.0615384615384615,0.294117647058823,10.7469627215076,26.27,0.28238969778294
2.52,2.42,0.444444444444444,0.161290322580645,0.0819672131147541,0.05,0.26984126984127,13.7512309303531,25.98,0.333388446801346
2.98,2.81,0.257142857142857,0.0579710144927536,0,0,0.185714285714286,2.59382783821986,33.79,0.287811956999103
4.4,4.45,0.554054054054054,0.36986301369863,0.236111111111111,0.169014084507042,0.378378378378378,30.0836176087713,43.27,0.495960975609756
4.18,3.5,0.440677966101695,0.189655172413793,0.12280701754386,0.0892857142857143,0.288135593220339,15.5153260335096,49.66,0.319045895776567
3.62,3.79,0.719512195121951,0.654320987654321,0.625,0.594936708860759,0.560975609756098,60.90037361417,50.05,0.654610472541507
4.93,3.96,0.466666666666667,0.22972972972973,0.164383561643836,0.125,0.266666666666667,19.4247135255895,21.76,0.361435843559354
4.38,3.98,0.478723404255319,0.161290322580645,0.0543478260869565,0.021978021978022,0.24468085106383,6.72395270913431,22.87,0.185185185185185
3.16,3.92,0.423728813559322,0.189655172413793,0.105263157894737,0.0178571428571429,0.254237288135593,13.9677405100367,32.11,0.343500363108206
4.57,4.55,0.423913043478261,0.296703296703297,0.233333333333333,0.191011235955056,0.358695652173913,27.1269468036547,38.94,0.535064179676656
4.2,2.58,0.316455696202532,0.141025641025641,0.0909090909090909,0.0657894736842105,0.215189873417721,11.5320605233188,24.18,0.414762985112078
3.33,3.48,0.0909090909090909,0,0,0,0.0545454545454545,0.995892135477233,19.91,0.0992063492063492
3.21,2.9,0.351351351351351,0.0833333333333333,0.0285714285714286,0,0.162162162162162,4.14763175217696,25.26,0.192221177047974
3.26,2.43,0.3125,0.036036036036036,0.00909090909090909,0,0.116071428571429,3.18715841579623,28.54,0.269359342458006
3.69,4.41,0.366197183098592,0.114285714285714,0.0579710144927536,0.0294117647058823,0.169014084507042,5.73279872812628,24.89,0.271931689342404
3.19,1.93,0.518518518518518,0.188679245283019,0.0384615384615385,0,0.314814814814815,4.30500152848318,25.82,0.241679079670445
3.72,3.73,0.431372549019608,0.24,0.142857142857143,0.104166666666667,0.392156862745098,18.329857013962,48.9,0.390868054892829
4.67,4.93,0.245901639344262,0.133333333333333,0.0677966101694915,0.0172413793103448,0.213114754098361,7.57739348115041,22.48,0.364981279108703
