human-rel,human-coh,rouge1,rouge2,rouge3,rouge4,rougeL,bleu,chrf,meteor
4.49,2.97,0.420289855072464,0.191176470588235,0.134328358208955,0.121212121212121,0.333333333333333,18.6625920486434,55.46,0.527697951895946
3.31,1.21,0.347222222222222,0.0985915492957746,0.0285714285714286,0,0.166666666666667,4.64597382096189,23.13,0.220354900520309
4,3.91,0.5,0.338461538461538,0.28125,0.238095238095238,0.454545454545455,31.8503209437503,26.5,0.456277543736114
3.92,3.15,0.51219512195122,0.259259259259259,0.175,0.126582278481013,0.231707317073171,22.0474560811214,36.26,0.420033775431905
4.09,3.14,0.612903225806452,0.4,0.241379310344828,0.178571428571429,0.580645161290323,23.5805579598657,25.51,0.46428505882137
3.49,2.95,0.344827586206897,0.228070175438596,0.107142857142857,0.0363636363636364,0.275862068965517,13.3257802051627,27.5,0.524835555555556
3.94,2.85,0.35632183908046,0.186046511627907,0.117647058823529,0.0595238095238095,0.218390804597701,18.4261742153737,33.37,0.489865526379096
4.49,3.57,0.625,0.428571428571429,0.306451612903226,0.229508196721311,0.421875,38.303366784175,23.42,0.562207779509455
4.39,2.25,0.527777777777778,0.28169014084507,0.157142857142857,0.072463768115942,0.402777777777778,20.0911887503903,26.05,0.431817460409068
4.25,3.31,0.402173913043478,0.21978021978022,0.111111111111111,0.0561797752808989,0.239130434782609,16.0852155937885,31.08,0.412866566126224
4.09,3.32,0.449275362318841,0.220588235294118,0.0895522388059701,0.0454545454545455,0.27536231884058,15.7767858698701,22.54,0.409819490106073
