human-rel,human-coh,rouge1,rouge2,rouge3,rouge4,rougeL,bleu,chrf,meteor
2.15,3.79,0.568181818181818,0.232558139534884,0.119047619047619,0.024390243902439,0.272727272727273,8.75806470375841,48.7,0.373773941577201
1.93,1.43,0.577777777777778,0.318181818181818,0.209302325581395,0.142857142857143,0.355555555555556,12.4601060543381,20.93,0.325779301018862
1.72,1.33,0.55,0.205128205128205,0.0526315789473684,0,0.275,2.3484042823479,23.65,0.265378224169877
2.07,2.77,0.3,0.102564102564103,0.0789473684210526,0.0540540540540541,0.2,2.61178887037254,21.76,0.261356466876972
1.67,1.85,0.289473684210526,0.0540540540540541,0.0277777777777778,0,0.184210526315789,0.882915993819316,12.67,0.105389718076285
2.96,2.36,0.4,0.153846153846154,0.105263157894737,0.0540540540540541,0.325,5.50860641949583,26.88,0.20848295602394
3.22,3.95,0.538461538461538,0.210526315789474,0.0810810810810811,0,0.282051282051282,1.29740897280188,36.38,0.157127771911299
1.84,1.54,0.465116279069767,0.119047619047619,0.024390243902439,0,0.209302325581395,2.52859510110611,18.51,0.361165048543689
1.96,1.32,0.324324324324324,0.0555555555555556,0,0,0.162162162162162,0.860564899247327,14.46,0.0843170320404722
2.61,2.36,0.333333333333333,0.136363636363636,0.0465116279069768,0,0.222222222222222,5.57154661251371,27.39,0.248
3.94,2.86,0.405405405405405,0.111111111111111,0,0,0.216216216216216,2.93842510761349,27.74,0.176306034582
3.7,2.96,0.606060606060606,0.34375,0.193548387096774,0.1,0.424242424242424,7.70666654553614,34.94,0.394027663107508
3.97,3.34,0.348837209302326,0.214285714285714,0.170731707317073,0.15,0.302325581395349,14.195119109175,26.98,0.266227180527383
3.18,2.84,0.5,0.142857142857143,0.0625,0.0425531914893617,0.3,2.13125334073659,29.68,0.284839203675345
2.49,1.68,0.446808510638298,0.152173913043478,0.0666666666666667,0.0227272727272727,0.212765957446808,2.48300766923866,18.89,0.20167731629393
1.24,1.32,0.210526315789474,0,0,0,0.131578947368421,0.991632208435381,17.4,0.0628366247755835
2.18,2.22,0.543478260869565,0.311111111111111,0.181818181818182,0.0697674418604651,0.369565217391304,7.27815945956304,22.81,0.269016743068664
3.9,3.03,0.533333333333333,0.272727272727273,0.0930232558139535,0.0238095238095238,0.333333333333333,10.1242852318462,21.24,0.295917781713236
3.58,3.29,0.461538461538462,0.196078431372549,0.08,0.0408163265306122,0.192307692307692,5.60208823934212,17.71,0.297217515896921
2.23,1.88,0.523809523809524,0.195121951219512,0.1,0.0512820512820513,0.333333333333333,4.75472242434405,29.09,0.191993957703927
