 ,rouge 1,rouge2,rouge3,rouge4,rougeL,bleu,chrf,meteor
relevance,0.2012271453402244,0.23067502026806214,0.2318141630984909,0.2326342881293488,0.14887536769073512,0.30825879321588245,0.27882294028280086,0.42273155462231093
coherence,0.18144668454243384,0.17490806527964342,0.154416360019639,0.15496266280085547,0.19452392306801466,0.20669941538892958,0.15767979118602138,0.29493473895416433
