 ,rouge 1,rouge2,rouge3,rouge4,rougeL,bleu,chrf,meteor
relevance,0.32373421218757137,0.2907841651455793,0.2782620384903296,0.2663585141564924,0.2695869754105008,0.2997230172062022,0.09196383004544352,0.2585522730844711
coherence,0.20957882617465703,0.1408107738360977,0.15391029909785373,0.180944190002276,0.16059004344487604,0.2021282686873894,-0.009880677128988965,0.06464831265710026
