,human-relevance,human-coherence,rouge 1,rouge2,rouge3,rouge4,rougeL,bleu,chrf,meteor
MatchSum,3.8116,3.5343999999999998,0.42497587857665897,0.20347505615261896,0.12356954712522632,0.0827220374438704,0.2727290075285871,15.629266989473566,31.1908,0.3945961873580472
PNSum,3.8214000000000006,3.3122000000000003,0.3992464040851981,0.19461331224705739,0.11467892401939082,0.07728901245940893,0.2616854887207541,14.934382157933566,30.494999999999994,0.42962087287942546
PointGen,3.2289999999999996,3.3744,0.41894541665316054,0.2056628770190539,0.12820066531050991,0.08965597832083123,0.301244750125581,14.709090628084914,31.267799999999998,0.350640282730349
LoopSum,2.9426000000000005,2.642,0.45271002405394645,0.18837467685361767,0.09418619967082552,0.04783633402524983,0.2873153556349414,5.8484846519652445,24.787399999999998,0.22167167718206046
