 ,rouge 1,rouge2,rouge3,rouge4,rougeL,bleu,chrf,meteor
relevance,0.2323108578762106,0.24121013900245306,0.24836140662995118,0.24326910112207076,0.22194951970018076,0.2720589143261405,-0.04330066804590224,0.20833340286235988
coherence,0.14911932605595632,0.2170355081939037,0.27011503356706024,0.25128252516975064,0.16488925348646433,0.252864919127139,-0.09901830166467254,0.22667826083565534
